Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,13,200,6,1,0.06,0.01,0.065
Mazani,10,200,5,0,0.05,0.0,0.05
Zartoshti,8,200,4,0,0.04,0.0,0.04
Azeri,4,200,2,0,0.02,0.0,0.02
Persian Gulf Islander,4,200,2,0,0.02,0.0,0.02
Baloch,2,202,1,0,0.0099,0.0,0.009901
Arab,2,204,0,2,0.0,0.0196,0.009804
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Total,43,2404,20,3,0.016638935108153,0.0024958402662229,0.01789
