Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Baloch,34,202,13,8,0.1287,0.0792,0.1683
Sistani,30,200,10,10,0.1,0.1,0.15
Mazani,21,200,4,13,0.04,0.13,0.105
Zartoshti,21,200,5,11,0.05,0.11,0.105
Arab,18,204,5,8,0.049,0.0784,0.08824
Lur,17,200,7,3,0.07,0.03,0.085
Azeri,15,200,5,5,0.05,0.05,0.075
Persian Gulf Islander,15,200,5,5,0.05,0.05,0.075
Persian,13,200,4,5,0.04,0.05,0.065
Kurd,12,200,4,4,0.04,0.04,0.06
Turkmen,9,200,4,1,0.04,0.01,0.045
Gilaki,8,198,1,6,0.0101,0.0606,0.0404
Total,213,2404,67,79,0.0557404326123128,0.0657237936772046,0.0886
