Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Baloch,55,202,6,43,0.0594,0.4257,0.2723
Lur,48,200,7,34,0.07,0.34,0.24
Sistani,48,200,5,38,0.05,0.38,0.24
Persian,45,200,4,37,0.04,0.37,0.225
Gilaki,44,198,3,38,0.0303,0.3838,0.2222
Azeri,43,200,6,31,0.06,0.31,0.215
Arab,43,204,7,29,0.0686,0.2843,0.2108
Kurd,41,200,3,35,0.03,0.35,0.205
Mazani,39,200,2,35,0.02,0.35,0.195
Persian Gulf Islander,37,200,6,25,0.06,0.25,0.185
Zartoshti,36,200,3,30,0.03,0.3,0.18
Turkmen,33,200,4,25,0.04,0.25,0.165
Total,512,2404,56,400,0.0465890183028286,0.3327787021630615,0.213
