Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Baloch,57,202,7,43,0.0693,0.4257,0.2822
Lur,48,200,7,34,0.07,0.34,0.24
Sistani,48,200,5,38,0.05,0.38,0.24
Persian,44,200,4,36,0.04,0.36,0.22
Gilaki,42,198,3,36,0.0303,0.3636,0.2121
Arab,42,204,6,30,0.0588,0.2941,0.2059
Kurd,41,200,3,35,0.03,0.35,0.205
Azeri,40,199,5,30,0.0503,0.3015,0.201
Mazani,39,200,2,35,0.02,0.35,0.195
Persian Gulf Islander,37,200,6,25,0.06,0.25,0.185
Zartoshti,36,200,3,30,0.03,0.3,0.18
Turkmen,30,200,3,24,0.03,0.24,0.15
Total,504,2403,54,396,0.0449438202247191,0.3295880149812734,0.2097
