Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,36,200,17,2,0.17,0.02,0.18
Sistani,20,200,9,2,0.09,0.02,0.1
Zartoshti,20,200,8,4,0.08,0.04,0.1
Mazani,19,200,7,5,0.07,0.05,0.095
Gilaki,15,198,7,1,0.0707,0.0101,0.07576
Turkmen,14,200,7,0,0.07,0.0,0.07
Baloch,13,202,5,3,0.0495,0.0297,0.06436
Azeri,10,200,4,2,0.04,0.02,0.05
Arab,9,204,4,1,0.0392,0.0098,0.04412
Kurd,8,200,4,0,0.04,0.0,0.04
Lur,4,200,2,0,0.02,0.0,0.02
Persian,4,200,1,2,0.01,0.02,0.02
Total,172,2404,75,22,0.062396006655574,0.0183028286189683,0.07155
