Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,25,200,12,1,0.12,0.01,0.125
Baloch,22,202,10,2,0.099,0.0198,0.1089
Kurd,13,200,6,1,0.06,0.01,0.065
Mazani,12,200,5,2,0.05,0.02,0.06
Arab,11,204,5,1,0.049,0.0098,0.05392
Persian Gulf Islander,8,200,3,2,0.03,0.02,0.04
Sistani,6,200,3,0,0.03,0.0,0.03
Gilaki,4,198,2,0,0.0202,0.0,0.0202
Azeri,4,200,1,2,0.01,0.02,0.02
Turkmen,4,200,2,0,0.02,0.0,0.02
Lur,3,200,1,1,0.01,0.01,0.015
Persian,2,200,1,0,0.01,0.0,0.01
Total,114,2404,51,12,0.0424292845257903,0.0099833610648918,0.04742
