Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Azeri,16,200,0,16,0.0,0.16,0.08
Mazani,15,200,0,15,0.0,0.15,0.075
Lur,10,200,0,10,0.0,0.1,0.05
Zartoshti,10,200,0,10,0.0,0.1,0.05
Arab,10,204,0,10,0.0,0.098,0.04902
Gilaki,8,198,0,8,0.0,0.0808,0.0404
Persian,8,200,0,8,0.0,0.08,0.04
Baloch,8,202,0,8,0.0,0.0792,0.0396
Kurd,6,200,0,6,0.0,0.06,0.03
Sistani,4,200,0,4,0.0,0.04,0.02
Turkmen,4,200,1,2,0.01,0.02,0.02
Persian Gulf Islander,3,200,0,3,0.0,0.03,0.015
Total,102,2404,1,100,0.0008319467554076,0.0831946755407653,0.04243
