Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,11,200,1,9,0.01,0.09,0.055
Gilaki,6,198,0,6,0.0,0.0606,0.0303
Mazani,4,200,0,4,0.0,0.04,0.02
Azeri,3,200,0,3,0.0,0.03,0.015
Lur,3,200,0,3,0.0,0.03,0.015
Sistani,3,200,0,3,0.0,0.03,0.015
Turkmen,3,200,0,3,0.0,0.03,0.015
Persian,1,200,0,1,0.0,0.01,0.005
Baloch,1,202,0,1,0.0,0.0099,0.00495
Arab,1,204,0,1,0.0,0.0098,0.004902
Kurd,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,36,2404,1,34,0.0008319467554076,0.0282861896838602,0.01498
