Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,22,200,11,0,0.11,0.0,0.11
Zartoshti,19,200,9,1,0.09,0.01,0.095
Mazani,18,200,9,0,0.09,0.0,0.09
Azeri,12,200,6,0,0.06,0.0,0.06
Kurd,10,200,5,0,0.05,0.0,0.05
Persian,8,200,4,0,0.04,0.0,0.04
Baloch,8,202,4,0,0.0396,0.0,0.0396
Persian Gulf Islander,6,200,3,0,0.03,0.0,0.03
Turkmen,6,200,3,0,0.03,0.0,0.03
Gilaki,5,198,2,1,0.0202,0.0101,0.02525
Lur,4,200,2,0,0.02,0.0,0.02
Arab,2,204,1,0,0.0098,0.0,0.009804
Total,120,2404,59,2,0.0490848585690515,0.0016638935108153,0.04992
