Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,4,175,0,4,0.0,0.0457,0.02286
Turkmen,2,174,0,2,0.0,0.023,0.01149
Arab,0,173,0,0,0.0,0.0,0.0
Azeri,0,171,0,0,0.0,0.0,0.0
Baloch,0,160,0,0,0.0,0.0,0.0
Gilaki,0,162,0,0,0.0,0.0,0.0
Kurd,0,165,0,0,0.0,0.0,0.0
Lur,0,165,0,0,0.0,0.0,0.0
Mazani,0,165,0,0,0.0,0.0,0.0
Persian,0,162,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,176,0,0,0.0,0.0,0.0
Sistani,0,162,0,0,0.0,0.0,0.0
Total,6,2010,0,6,0.0,0.0059701492537313,0.002985
