Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Kurd,11,200,5,1,0.05,0.01,0.055
Mazani,11,200,5,1,0.05,0.01,0.055
Baloch,9,202,4,1,0.0396,0.0099,0.04455
Lur,4,200,2,0,0.02,0.0,0.02
Azeri,2,200,1,0,0.01,0.0,0.01
Persian,2,200,1,0,0.01,0.0,0.01
Persian Gulf Islander,2,200,1,0,0.01,0.0,0.01
Turkmen,2,200,1,0,0.01,0.0,0.01
Sistani,1,200,0,1,0.0,0.01,0.005
Zartoshti,1,200,0,1,0.0,0.01,0.005
Arab,0,204,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Total,45,2404,20,5,0.016638935108153,0.0041597337770382,0.01872
