Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,22,200,10,2,0.1,0.02,0.11
Mazani,15,200,7,1,0.07,0.01,0.075
Sistani,14,200,7,0,0.07,0.0,0.07
Persian Gulf Islander,9,200,4,1,0.04,0.01,0.045
Turkmen,8,200,4,0,0.04,0.0,0.04
Baloch,7,202,3,1,0.0297,0.0099,0.03465
Arab,7,204,3,1,0.0294,0.0098,0.03431
Kurd,4,200,2,0,0.02,0.0,0.02
Persian,4,200,2,0,0.02,0.0,0.02
Azeri,2,200,1,0,0.01,0.0,0.01
Lur,2,200,1,0,0.01,0.0,0.01
Gilaki,1,198,0,1,0.0,0.0101,0.005051
Total,95,2404,44,7,0.0366056572379367,0.0058236272878535,0.03952
