Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,13,200,6,1,0.06,0.01,0.065
Zartoshti,11,200,5,1,0.05,0.01,0.055
Persian Gulf Islander,10,200,5,0,0.05,0.0,0.05
Mazani,6,200,3,0,0.03,0.0,0.03
Turkmen,6,200,3,0,0.03,0.0,0.03
Baloch,6,202,3,0,0.0297,0.0,0.0297
Kurd,4,200,2,0,0.02,0.0,0.02
Persian,4,200,2,0,0.02,0.0,0.02
Gilaki,2,198,1,0,0.0101,0.0,0.0101
Azeri,2,200,1,0,0.01,0.0,0.01
Arab,0,204,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Total,64,2404,31,2,0.0257903494176372,0.0016638935108153,0.02662
