Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,13,200,6,1,0.06,0.01,0.065
Turkmen,8,200,4,0,0.04,0.0,0.04
Persian Gulf Islander,7,200,3,1,0.03,0.01,0.035
Persian,6,200,3,0,0.03,0.0,0.03
Mazani,5,200,1,3,0.01,0.03,0.025
Sistani,5,200,2,1,0.02,0.01,0.025
Kurd,2,200,1,0,0.01,0.0,0.01
Lur,2,200,1,0,0.01,0.0,0.01
Baloch,2,202,1,0,0.0099,0.0,0.009901
Azeri,1,200,0,1,0.0,0.01,0.005
Arab,0,204,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Total,51,2404,22,7,0.0183028286189683,0.0058236272878535,0.02121
