Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,31,200,14,3,0.14,0.03,0.155
Baloch,25,202,11,3,0.1089,0.0297,0.1238
Lur,24,200,11,2,0.11,0.02,0.12
Mazani,22,200,8,6,0.08,0.06,0.11
Sistani,22,200,9,4,0.09,0.04,0.11
Arab,16,204,6,4,0.0588,0.0392,0.07843
Gilaki,12,198,5,2,0.0505,0.0202,0.06061
Persian Gulf Islander,12,200,4,4,0.04,0.04,0.06
Azeri,11,200,5,1,0.05,0.01,0.055
Persian,10,200,3,4,0.03,0.04,0.05
Kurd,9,200,4,1,0.04,0.01,0.045
Turkmen,6,200,2,2,0.02,0.02,0.03
Total,200,2404,82,36,0.0682196339434276,0.0299500831946755,0.08319
