Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,24,200,9,6,0.09,0.06,0.12
Sistani,18,200,8,2,0.08,0.02,0.09
Mazani,17,200,7,3,0.07,0.03,0.085
Baloch,12,202,6,0,0.0594,0.0,0.05941
Gilaki,10,198,5,0,0.0505,0.0,0.05051
Kurd,7,200,2,3,0.02,0.03,0.035
Turkmen,7,200,3,1,0.03,0.01,0.035
Persian,6,200,3,0,0.03,0.0,0.03
Persian Gulf Islander,6,200,3,0,0.03,0.0,0.03
Arab,6,204,3,0,0.0294,0.0,0.02941
Azeri,5,200,2,1,0.02,0.01,0.025
Lur,5,200,2,1,0.02,0.01,0.025
Total,123,2404,53,17,0.0440931780366056,0.0141430948419301,0.05116
